ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
1667,S94047,Small and Simple Projects Fund,1994,Delridge Youth Group Summer Work Project,Southwest Family Center Family Council,The Family Council developed and implemented a 6 week pre-employment skills training and activities program for neighborhood youth ages 10 - 13.,3600,11480,,Delridge
1654,S94034,Small and Simple Projects Fund,1994,32nd Ave. & Jefferson St. Traffic Circle,32nd Ave Traffic Coalition,"To slow down traffic on this residential street, a traffic circle was constructed at 32nd Avenue and E. Jefferson. Volunteers landscaped and are maintaining the landscaping of the traffic circle.",3542,3543,,Central
1655,S94035,Small and Simple Projects Fund,1994,Vacant Land/Structure Cataloging,Central Area Development Association,Vacant land and structures within the Central Area will be identified. The information will be cataloged and used to recommend potential development that meets the land use and community development needs identified in the Central Area Action Plan.,4350,5000,,Central
1656,S94036,Small and Simple Projects Fund,1994,"Ave History Book, Phase I",Greater University Chamber of Commerce,"The award was used for the research, writing, and development of a manusript, to be published later, of the history of the University District neighborhood.",5000,8010,,Northeast
1657,S94037,Small and Simple Projects Fund,1994,Clean-up Depot,Rainier Chamber of Commerce,"To purchase and install a storage facility in the Rainier Foods parking lot. A pressure washer, weed wacker and mower shall be stored in the facility. On April 23, the Chamber shall host the 4th annual clean-up.",2550,10625,,Southeast
1658,S94038,Small and Simple Projects Fund,1994,Meadowbrook Commons Resource Directory,Meadowbrook Community Council,"To prepare and publish a ""Meadowbrook Commons Resource Directory"" listing facilities, resource and programs at the community center at Nathan Hale School, Jane Adams School and the Meadowbrook Pond Site.",3409,3680,,North
1659,S94039,Small and Simple Projects Fund,1994,Gateway to Greenwood Bus Shelter,Greenwood Arts Council,"Two bus shelters, at 85th and Greenwood, were re-designed by neighborhood artists.  The artists, and the design for the shelters, were selected by a panel of neighborhood residents following an open ""call to artists"" competition.",3500,4870,,Northwest
1660,S94040,Small and Simple Projects Fund,1994,Project Kidsplay - Phase II,Bagley Elementary PTSA,A 20 year old play structure was replaced with new equipment at this school-neighborhood playground.,5000,10105,,Northwest
1661,S94041,Small and Simple Projects Fund,1994,Federal-Lynn Traffic Circle,Federal-Lynn Neighborhood Association,Iinstalled a traffic circle.,2575,3985,,East
1664,S94044,Small and Simple Projects Fund,1994, Neighborhood Traffic Planning Project,Jackson Place Community Council,Conduct a  planning project that will result in a comprehensive traffic management plan for the neighborhood.,3000,9410,,Central
1651,S94031,Large Projects Fund,1994,Street Name Mosaic Project,Central Ballard Community Council,Mosaic tiles will be created and installed at 11 intersections along 24th NW in Ballard.  The tiles will be designed to spell out the former name of each street.,2428,3085,,Ballard
1673,S94054,Small and Simple Projects Fund,1994,Street Tree Beautification,Olympic Heights Neighborhood Group,This project is aimed at unifying/uniting the neighbors through environmental stewardship.  25 trees will be planted and a nearby traffic circle will be replanted.,1258,2135,,Delridge
1679,S94060,Small and Simple Projects Fund,1994,CNA Street Trees,Central Neighborhood Association,"75 street trees will be planted in the residential area of the neighborhood which is bounded on the north by Madison, Cherry on the south, 18th Ave to the west, and 26th Ave to the east.",2145,2145,,Central
1672,S94053,Small and Simple Projects Fund,1994,Native Habitat Restoration,Fairmount Ravine Restoration Group,"In an overgrown and unattended ravine, non-native flora will be cleared out and native wildlife habitat plants will be installed.",5000,5650,,Southwest
1669,S94049,Small and Simple Projects Fund,1994,Carkeek Park Playground Master Plan,Carkeek Park Advisory Council,To produce a master plan and drawings for play and recreational facilities in four designated areas of Carkeek Park.,5000,10831,,Northwest
1621,S94001,Small and Simple Projects Fund,1994,Gardening in the Round,Whittier Heights Neighborhood Association,"Held a landscaping seminar and plant exchange for""stewards"" of  traffic circles.",770,1800,,Ballard
1623,S94003,Small and Simple Projects Fund,1994,Rainier View Head Start Playgrnd Equipmt,Rainier View Elementary PTSA,Upgraded the lower primary play area by adding a playscape or climbing aparatus and adding wood chips to the entire area to make the play area safe.,4140,4220,,Greater Duwamish
1629,S94009,Small and Simple Projects Fund,1994,Hillman City P-Patch,Human Services Department,Installed site improvements necessary to create a community garden.,3930,4320,,Southeast
1646,S94026,Small and Simple Projects Fund,1994,"One Church One School,Student/Parent Retreat","One Church One School, Partners Progress","A two day student/parent retreat for Sourtheast Seattle students ages 14-18 years and their parents. A joint effort between One Church One School, school and the neighborhood communities to enhance academic achievement amoung Sourtheast Students.",2470,5115,,Southeast
1635,S94015,Small and Simple Projects Fund,1994,Rainier Performing Arts Project,South East Effective Development,Provided summertime music and dance education for 4th to 6th grade children.,2350,4191,,Southeast
1641,S94021,Small and Simple Projects Fund,1994,SW Youth Enrichment Week,Southwest Teen Council/SW Advisory Council,Enrichment and fitness program for youth during spring break.,4800,5000,,Delridge
1639,S94019,Small and Simple Projects Fund,1994,Master Plan for Daylighting Ravenna Crk,Ravenna-Bryant Community Association,Detailed survey and resultant overall daylighting plan along creek route.,5000,0,,Northeast
1638,S94018,Small and Simple Projects Fund,1994,Laurelhurst Neighborhood Improvement,Laurelhurst Elementary PTSA,Improved the appearance of the neighborhood by landscaping the school grounds.,4540,9235,,Northeast
1682,S94063,Small and Simple Projects Fund,1994,Street Trees in Central Wallingford,Wallingford Community Council,"15 street trees will be planted along 46th and Wallingford, near the Food Giant grocery store, to improve the appearance of this particular area of Wallingford.",2202,3465,,Lake Union
1644,S94024,Small and Simple Projects Fund,1994,Beacon Hill School Playground Improvement,Beacon Hill Family Association,To purchase and install playground equipment for physical fitness activities at Beacon Hill School.,5000,14076,,Greater Duwamish
502,B9529,Large Projects Fund,1994,Martin Luther King Electronic Village,Martin L King Jr. Elementary PTSA,"Using technology available at our neighborhood school, teach computer network utilization to neighborhood families and train community teenagers to maintain and troubleshoot the system.",49000,60400,,Central
1019,OD94001,Outreach,1994,Membership Recruitment Project,Whittier Heights Community Council,The Community Council increased their membership by about 30 new members and identified several major neighborhood issues through a direct mail survey.,475,0,,Ballard
1020,OD94002,Outreach,1994,Membership Outreach,Greenwood Chamber of Commerce,The organizing project goal was to increase the number of members in the residential-business organization from 15 to 40 active people.,440,0,,Northwest
1024,OD94006,Outreach,1994,Community Organizing Workshop,Neighborhood House,Neighborhood House sponsored a training workshop on community organizing for 15 to 30 leaders of Seattle's Samoan Community.,500,0,,Southeast
493,B9520,Large Projects Fund,1994,Entry Signs for Green Lake Neighborhood,Green Lake Community Council,Installation of four landscaped entry signs identifying the Green Lake neighborhoos along four main arterials that bring people into the community.,10066,15072,,Northwest
498,B9525,Large Projects Fund,1994,North Dist. N'hoods Planning Effort,North District Planning Committee,The organization assessed neighborhood concerns via a survey and an extensive outreach campaign.  They produced a final report that identifies key areas of concern in the North district of the City.,25210,35720,,North
